Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
How did serfdom develop in and then leave Russia ?|How|How did|WRB|VBD|VB|DESC
What films featured the character Popeye Doyle ?|What|What films|WP|NNS|VBD|ENTY
How can I find a list of celebrities ' real names ?|How|How can|WRB|MD|VB|DESC
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|What|What fowl|WDT|NN|VBZ|ENTY
What is the full form of .com ?|What|What is|WP|VBZ|VBZ|ABBR
What contemptible scoundrel stole the cork from my lunch ?|What|What contemptible|WDT|JJ|VBD|HUM
What team did baseball's St. Louis Browns become ?|What|What team|WDT|NN|VBP|HUM
What is the oldest profession ?|What|What is|WP|VBZ|VBZ|HUM
What are liver enzymes ?|What|What are|WP|VBP|VBP|DESC
When was Ozzy Osbourne born ?|When|When was|WRB|VBD|VBD|NUM
Why do heavier objects travel downhill faster ?|Why|Why do|WRB|VBP|NN|DESC
Who was The Pride of the Yankees ?|Who|Who was|WP|VBD|VBD|HUM
Who killed Gandhi ?|Who|Who killed|WP|VBD|VBD|HUM
What is considered the costliest disaster the insurance industry has ever faced ?|What|What is|WP|VBZ|VBN|ENTY
What sprawling U.S. state boasts the most airports ?|What|What sprawling|WP|VBG|VBZ|LOC
What did the only repealed amendment to the U.S. Constitution deal with ?|What|What did|WP|VBD|VBD|DESC
How many Jews were executed in concentration camps during WWII ?|How|How many|WRB|JJ|VBN|NUM
What is '' Nine Inch Nails '' ?|What|What is|WP|VBZ|VBZ|DESC
What is an annotated bibliography ?|What|What is|WP|VBZ|VBZ|DESC
What is the date of Boxing Day ?|What|What is|WP|VBZ|VBZ|NUM
What articles of clothing are tokens in Monopoly ?|What|What articles|WDT|NNS|VBP|ENTY
What's the Olympic motto ?|What|What 's|WP|VBZ|VBZ|DESC
What is the origin of the name ' Scarlett ' ?|What|What is|WP|VBZ|VBZ|DESC
What's the second-most-used vowel in English ?|What|What 's|WP|VBZ|VBZ|ENTY
Who was the inventor of silly putty ?|Who|Who was|WP|VBD|VBD|HUM
What is the highest waterfall in the United States ?|What|What is|WP|VBZ|VBZ|LOC
Which two states enclose Chesapeake Bay ?|Which|Which two|WDT|CD|VBP|LOC
What does the abbreviation AIDS stand for ?|What|What does|WP|VBZ|NN|ABBR
What does a spermologer collect ?|What|What does|WP|VBZ|VB|ENTY
How many points make up a perfect fivepin bowling score ?|How|How many|WRB|JJ|VBP|NUM
Which company that manufactures video-game hardware sells the '' super system '' ?|that|Which company that manufactures|WDT|VBZ|VBZ|HUM
How many Community Chest cards are there in Monopoly ?|How|How many|WRB|JJ|VBP|NUM
What do Mormons believe ?|What|What do|WP|VBP|VB|DESC
When did the neanderthal man live ?|When|When did|WRB|VBD|VB|NUM
In what religion was Isis the nature goddess ?|what|what religion|WDT|NN|IN|ENTY
Where do the adventures of '' The Swiss Family Robinson '' take place ?|Where|Where do|WRB|VBP|VBP|LOC
What relative of the racoon is sometimes known as the cat-bear ?|What|What relative|WDT|NN|VBN|ENTY
How can I register my website in Yahoo for free ?|How|How can|WRB|MD|VB|DESC
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|What|What was|WP|VBD|VBD|ENTY
How many people in the world speak French ?|How|How many|WRB|JJ|VB|NUM
How many inches over six feet is the Venus de Milo ?|How|How many|WRB|JJ|VBZ|NUM
How do they find or choose witnesses to an execution ?|How|How do|WRB|VBP|VB|DESC
What 1920s cowboy star rode Tony the Wonder Horse ?|What|What 1920s|WP|CD|VBD|HUM
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|What|What cocktail|WDT|NN|VBD|ENTY
What ISPs exist in the Caribbean ?|What|What ISPs|WP|NNS|VBP|HUM
How do you ask a total stranger out on a date ?|How|How do|WRB|VBP|VB|DESC
What weapon is the mythological character Apollo most proficient with ?|What|What weapon|WDT|NN|VBZ|ENTY
What country do the Galapagos Islands belong to ?|What|What country|WP|NN|VBP|LOC
What is ethology ?|What|What is|WP|VBZ|VBZ|DESC
Who was the prophet of the Muslim people ?|Who|Who was|WP|VBD|VBD|HUM
Where did the term '' 86ed '' come from ?|Where|Where did|WRB|VBD|VB|DESC
Who is Snoopy's arch-enemy ?|Who|Who is|WP|VBZ|VBZ|HUM
What is the nature of learning ?|What|What is|WP|VBZ|VBZ|DESC
What's the only color Johnny Cash wears on stage ?|What|What 's|WP|VBZ|VBZ|ENTY
What's the term for a young fox ?|What|What 's|WP|VBZ|VBZ|ENTY
What U.S. state lived under six flags ?|What|What U.S.|WP|NNP|VBD|LOC
What is the Kashmir issue ?|What|What is|WP|VBZ|VBZ|DESC
Where is the Loop ?|Where|Where is|WRB|VBZ|VBZ|LOC
What does '' extended definition '' mean and how would one write a paper on it ?|What|What does|WP|VBZ|NN|DESC
What country's capital is Tirana ?|What|What country|WP|NN|VBZ|LOC
What is titanium ?|What|What is|WP|VBZ|VBZ|DESC
Who do Herb and Tootsie live next door to ?|Who|Who do|WP|VBP|VBP|HUM
Which city has the oldest relationship as a sisterï¿½city with Los Angeles ?|Which|Which city|WDT|NN|VBZ|LOC
What is a caldera ?|What|What is|WP|VBZ|VBZ|DESC
Why do people get calluses ?|Why|Why do|WRB|VBP|VB|DESC
What are the names of the tourist attractions in Reims ?|What|What are|WP|VBP|VBP|LOC
What are Cushman and Wakefield known for ?|What|What are|WP|VBP|VBN|DESC
What body of water does the Danube River flow into ?|What|What body|WDT|NN|VB|LOC
Who is the founder of Scientology ?|Who|Who is|WP|VBZ|VBZ|HUM
What does the six-footed Musca domestica become when it enters a house ?|when|What does when it|WRB|PRP|VB|ENTY
What is the history of skateboarding ?|What|What is|WP|VBZ|VBZ|DESC
